FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Hooyeon Lee,Female,AMS,"Mình thích đọc sách, tập yoga",ISTP,"K-pop, DIY, Yoga, Travel",Text message,Share knowledge,"Biology, Health Care","Home, Bookstore",Early Morning
Vũ Ngọc Linh Anh,Female,ICT,"Thích đi picnic, thích chụp ảnh, chơi cầu lông và thích cậu.",INTP,"Board games, Anime, Hiphop, Alcoholic, Rap",Text message,Chit Chatting,"Programming, Artificial Intelligence, Biology, Practical laboratory, Environment",Home,Midnight
Nam,Male,CS,,ENTJ,"V-pop, K-pop, Swimming, Board games, Esport",Video call,Chit Chatting,"Calculus, Programming",,Early Morning
Nguyễn Văn Phúc,Male,SIC,,ISFJ,"Football, Swimming, Study, Gym",In-person (face-to-face),Study supporter,"Programming, Artificial Intelligence",Home,Midday
Trịnh Tuyết Mai,Female,EER,,ESTJ,"V-pop, K-pop, DIY",Text message,Chit Chatting,"Biology, Practical laboratory, Environment, Health Care","Café, Library, Bookstore",Midday
Lê Hữu Toàn,Male,FST,,ENTJ,"Basketball, Swimming, Skateboarding, Board games",,Share knowledge,"Linear Algebra, Physics","Library, Bookstore",Midday
Lê Thu Hương,Female,CH,,ESFP,"Volleyball, DIY, Cooking, Makeup",In-person (face-to-face),Study supporter,"Environment, Health Care",Café,Night
Phạm Quốc Thắng,Male,CS,,ESTJ,"Food tour, Travel, Korean food, Esport",In-person (face-to-face),Share knowledge,"Calculus, Linear Algebra, Physics, Programming, Electronic","Café, Library, Bookstore",Midday
Nguyễn Vân Trang,Female,MAT,,INFP,"Painting, Jogging, Study, Tea",Text message,Chit Chatting,"Calculus, Linear Algebra",Online,Overnight
Vũ Đình Khoa,Male,BIT,,INTJ,"EDM, Football, Basketball, Gym",In-person (face-to-face),Share knowledge,"Physics, Electronic","Café, Bookstore",Evening
Phạm Minh Trang,Female,MET,,ENFJ,"Art, DIY, Painting",Text message,Chit Chatting,Practical laboratory,Online,Overnight
Đào Ngân Hà,Female,AE,,ENFP,,,Study supporter,"Chemistry, Physics, Programming, Artificial Intelligence",Library,Evening
Hà Duy Anh,Male,MST,,ENTJ,"V-pop, K-pop, EDM",Text message,Share knowledge,"Calculus, Linear Algebra, Chemistry, Physics, Programming","Library, Online",Midday
Vũ Đức Duy,Male,AES,,INFP,"Bowling, Singing, Anime",Video call,Study supporter,"Calculus, Biology, Electronic","Library, Bookstore",Night
Hoàng Quỳnh Anh,Female,MST,,INFP,"Art, Swimming, Korean food",,,"Physics, Electronic","Home, Bookstore",Overnight
Nguyễn Bích Ngọc,Female,EER,,INTP,"Volleyball, DIY, Cooking, Painting",Text message,Share knowledge,"Chemistry, Biology, Environment","Library, Bookstore",Midday
Đỗ Quốc Minh Nghĩa,Male,Pharmacy,,ISFP,"EDM, Bowling, Gym, Rap, Movie",In-person (face-to-face),Study supporter,"Calculus, Physics, Programming, Artificial Intelligence","Café, Library, Bookstore",Overnight
Nguyễn Quang Trung,Male,CS,,INFJ,"Baseball, Board games, DIY, Netflix, Esport",Text message,Chit Chatting,"Calculus, Linear Algebra, Chemistry, Physics",Library,Midday
Nguyễn Minh Tùng,Male,ATE,,ISTJ,"EDM, Board games, Study, Taekwondo, Esport",Video call,Study supporter,"Physics, Programming, Artificial Intelligence","Café, Online",Night
Phạm Đình Duy,Male,DS,,ESFJ,Esport,Video call,Share knowledge,"Programming, Artificial Intelligence",Online,Early Morning
Nghiêm Việt Anh,Male,MET,,ENTP,"Basketball, Gym, Esport",Text message,Chit Chatting,"Calculus, Linear Algebra, Physics","Library, Bookstore",Evening
Nguyễn Quang Nhật,Prefer not to say,MET,,ENFP,"Football, DIY, Anime, Makeup, Esport",Text message,Chit Chatting,,Café,Overnight
Nguyễn Đình Hưng,Male,SST,,INTP,"Skateboarding, Board games, DIY, Rap",,Study supporter,"Calculus, Physics",Library,Midday
Trần Lan Anh,Female,DS,,ENTP,"DIY, Korean food, Movie, Netflix, Esport",Text message,Study supporter,"Calculus, Artificial Intelligence, Biology","Café, Library, Bookstore, Online",Night
Trần Duy Anh,Male,Pharmacy,,ISFJ,"Football, Bowling, Gym, Movie, Esport",In-person (face-to-face),Share knowledge,"Chemistry, Physics, Biology","Café, Library, Bookstore",Evening
Nguyễn Nam,Male,AES,,ISFJ,"Baseball, Basketball, Swimming, Gym, Taekwondo",In-person (face-to-face),Chit Chatting,,Café,Overnight
Lý Trần Gia Minh,Male,ICT,,ESTP,"Basketball, Esport",Phone call,Chit Chatting,Programming,Café,Midnight
Phạm Quang Anh,Prefer not to say,BIT,,ISFJ,"Makeup, Movie, Netflix, Esport",Text message,Chit Chatting,Biology,"Café, Online",Evening
Nguyễn Thái Đức,Male,MST,,INTJ,"Football, Basketball, Skateboarding, Bowling, Gym",Text message,Study supporter,"Calculus, Linear Algebra, Physics, Biology","Café, Library",Night
Lê Tiến Anh,Male,FST,,INFP,"Football, Basketball, Bowling, Travel, Gym",In-person (face-to-face),Chit Chatting,"Calculus, Linear Algebra, Physics",Café,Night
Lưu Quỳnh Liên,Female,MST,,ENFJ,"Singing, Travel, Makeup, Movie, Netflix",Text message,Chit Chatting,"Calculus, Physics",Café,Overnight
Bùi Hạnh Thảo,Female,Pharmacy,,INFJ,"Art, Bowling, Makeup",Text message,Chit Chatting,"Chemistry, Biology","Café, Library, Bookstore",Evening
Nguyễn Vũ Hà Phương,Female,AES,,ENFP,,,,,,
Nguyễn Lan Anh,Female,MAT,,ENFJ,"Art, Yoga, Makeup",In-person (face-to-face),Chit Chatting,"Chemistry, Biology",Café,Midday
Nguyễn Việt Hà,Female,SST,,INFP,"Art, Cooking, Travel, Makeup",Text message,Study supporter,"Chemistry, Biology","Café, Online",Evening
Trần Nhật Giang,Female,SST,,ISFJ,"Art, Painting, Jogging, Makeup",In-person (face-to-face),Chit Chatting,"Biology, Practical laboratory, Environment, Health Care","Café, Bookstore, Online",Night
Huy Hoàn,Male,AMS,,ISTJ,"K-pop, Politics, Basketball, Swimming, DIY",Text message,Study supporter,"Chemistry, Artificial Intelligence",Bookstore,Evening
Nguyễn Tiến Dũng,Male,FST,,ENTP,"Politics, Skateboarding, DIY, Painting",Video call,Chit Chatting,"Practical laboratory, Health Care","Library, Online",Midday
Ngô Minh Ngọc,Female,SIC,,ESTJ,"K-pop, Alcoholic, Karate, Taekwondo, Netflix",In-person (face-to-face),Share knowledge,"Practical laboratory, Environment",Café,Early Morning
Trần Minh Hiếu,Male,MAT,,INFP,"Bowling, Yoga, Jogging, Gym",Phone call,Share knowledge,"Calculus, Programming, Artificial Intelligence",Café,Night
Nguyễn Như Bình,Female,ATE,,ESFJ,"DIY, Cooking, Painting, Ballet",In-person (face-to-face),Share knowledge,"Calculus, Artificial Intelligence, Health Care",Bookstore,Night
Đào Bình Minh,Male,SST,,ENTP,"V-pop, Dancing, Hiphop, Netflix, Ice cream",Phone call,Chit Chatting,"Calculus, Linear Algebra",Home,Midnight
Lê Phương Thảo,Female,MST,,ISFP,"Politics, Jogging, Investment, Makeup",Text message,Chit Chatting,,Café,Midday
Nguyễn Công Phượng,Male,EER,,INTP,"Football, Table tennis, Skiing, Swimming",Phone call,Study supporter,"Chemistry, Physics",Library,Overnight
Nguyễn Quang Hải,Male,CS,,ENFP,"Art, Football, DIY, Painting, Rap",Text message,Study supporter,"Physics, Artificial Intelligence, Practical laboratory",Bookstore,Midnight
Trần Châu Anh,Female,FST,,INTP,"Yoga, Anime, Food tour, Travel, Badminton",Phone call,Chit Chatting,"Chemistry, Biology",Café,Evening
Nguyễn Phương Nhung,Female,Pharmacy,,ESFJ,"V-pop, Bowling, Dancing, Singing, Food tour",Video call,Share knowledge,"Biology, Health Care",Online,Early Morning
Lê Anh Nuôi,Male,EER,,ISTJ,"Coffee, Tea, Investment, Ice cream, Esport",In-person (face-to-face),Share knowledge,"Physics, Artificial Intelligence, Electronic",Home,Night
Giáp Đỗ Anh Minh,Male,AE,,ENFJ,"Skiing, Skateboarding, Board games, DIY, Gym",Text message,Study supporter,"Calculus, Linear Algebra, Programming, Artificial Intelligence, Electronic",Online,Midnight
Đào Bá Lộc,Prefer not to say,SIC,,ESFJ,"Singing, Yoga, Jogging, Korean food, Tea",Video call,Chit Chatting,"Calculus, Chemistry",Café,Overnight
Nguyễn Đức Nam Anh,Male,MST,,ISTJ,"Table tennis, Painting",Phone call,Study supporter,Physics,"Café, Home, Online",Midnight
Nguyễn Hoàng Anh,Male,AES,,ESTJ,"Coffee, Tea, K-pop, Ballet",In-person (face-to-face),Chit Chatting,"Programming, Environment, Chemistry, Physics, Health Care",Café,Evening
Nguyễn Phan Ngọc Anh,Female,ICT,,ISFJ,Badminton,Phone call,Study supporter,"Chemistry, Artificial Intelligence","Library, Home",Night
Phạm Nguyễn Quốc Anh,Male,MST,,ENFP,"Hiphop, Yoga, Badminton, DIY, Football",Video call,Share knowledge,Programming,"Library, Bookstore, Online",Evening
Trần Đức Anh,Male,SST,,ESFJ,"Study, Table tennis, Taekwondo",Video call,Share knowledge,"Environment, Health Care, Physics, Biology",Online,Midnight
Trương Đan Thục Anh,Female,MST,,INTJ,"DIY, Painting, Politics",In-person (face-to-face),Share knowledge,"Practical laboratory, Programming, Environment, Electronic","Online, Bookstore",Night
Phạm Ngọc Minh Châu,Female,MAT,,ISFJ,"Anime, Rap",Video call,Study supporter,"Environment, Biology, Calculus, Programming",Online,Midnight
Ngô Chí Công,Male,BIT,,ENTJ,Ballet,In-person (face-to-face),Share knowledge,Practical laboratory,"Bookstore, Café, Home",Evening
Đỗ Nguyễn Tiến Đạt,Male,DS,,ISTJ,"EDM, Study, Skiing, Food tour",Video call,Chit Chatting,Electronic,"Bookstore, Home, Café",Night
Nguyễn Hồng Đăng,Male,FST,,INTJ,"Swimming, Table tennis, Study",Phone call,Chit Chatting,Physics,"Online, Library, Bookstore",Night
Nguyễn Tiến Đức,Male,SIC,,ESTP,"Dancing, singing, Coffee, Tea",Phone call,Study supporter,Practical laboratory,"Online, Library, Home",Early Morning
Hoàng Hồng Hải,Male,SST,,ISFJ,"Korean food, Gym, Ballet, Travel",Phone call,Share knowledge,"Environment, Health Care",Online,Evening
Nguyễn Lê Thanh Hiền,Female,CS,,ENFJ,Dancing,Video call,Chit Chatting,"Physics, Artificial Intelligence, Calculus, Electronic","Bookstore, Online",Night
Trần Công Hiếu,Male,DS,,ISFP,"Travel, Football, Volleyball, Hiphop, Table tennis",Video call,Study supporter,"Health Care, Linear Algebra","Online, Library, Bookstore",Night
Ngô Hoàng Hiệp,Male,SIC,,ENTJ,"Skateboarding, Coffee, Tea, V-pop, singing, Taekwondo",Phone call,Study supporter,"Programming, Electronic, Practical laboratory, Biology","Café, Bookstore, Library",Night
Lương Minh Hùng,Male,EER,,ENFJ,"Badminton, Bowling, Politics",Video call,Study supporter,"Health Care, Calculus, Biology, Programming, Chemistry","Home, Library, Café",Early Morning
Lâm Quang Huy,Male,AE,,ENFJ,"Volleyball, Baseball, Swimming, Travel, Basketball",In-person (face-to-face),Share knowledge,"Calculus, Chemistry",Café,Overnight
Nguyễn Đức Huy,Male,BIT,,ESTP,"Movie, Politics, Painting, Anime, EDM",Phone call,Share knowledge,"Practical laboratory, Biology, Electronic, Chemistry",Library,Midday
Phạm Trần Gia Huy,Male,DS,,ISFJ,Art,Phone call,Share knowledge,"Environment, Electronic","Online, Library, Home",Midnight
Lã Khánh Huyền,Female,SST,,INTP,"Karate, Gym, Study, Skiing",Video call,Chit Chatting,"Calculus, Health Care, Practical laboratory, Physics",Café,Midday
Lục Thị An Khanh,Female,AE,,ESFP,"Gym, Skiing, Hiphop, DIY",In-person (face-to-face),Share knowledge,Electronic,"Café, Library",Evening
Bùi Tùng Khánh,Female,SST,,ESFP,"Taekwondo, Coffee, Tea, Skiing, Rap",Phone call,Share knowledge,"Health Care, Artificial Intelligence, Physics",Café,Midday
Nguyễn Lê Ngọc Khánh,Female,SST,,INFJ,"Travel, K-pop, Netflix, Painting, Vlogging",Phone call,Study supporter,"Health Care, Linear Algebra, Practical laboratory, Programming, Artificial Intelligence",Home,Night
Tôn Thất Nguyễn Lân,Male,ATE,,ESTJ,"Badminton, Painting",In-person (face-to-face),Study supporter,"Health Care, Electronic, Physics","Library, Café",Midnight
Nguyễn Thùy Linh,Female,DS,,ENFP,"Movie, Makeup, Skiing, singing, Travel",Text message,Study supporter,Linear Algebra,"Bookstore, Library",Evening
Nguyễn Trang Linh,Female,EER,,ENFP,"Taekwondo, Painting, Jogging",Video call,Study supporter,"Calculus, Environment",Library,Evening
Phạm Hải Long,Male,Pharmacy,,ENFP,"Basketball, Travel, Rap, Art, Football",Video call,Share knowledge,"Environment, Linear Algebra","Online, Café, Library",Midday
Trần Minh Long,Male,DS,,INFP,Gym,Video call,Share knowledge,"Environment, Calculus, Health Care, Practical laboratory","Online, Bookstore, Home",Overnight
Đào Bình Minh,Male,DS,,ISTJ,"Swimming, Basketball",Text message,Share knowledge,"Health Care, Biology, Chemistry, Practical laboratory, Linear Algebra","Bookstore, Café, Home",Night
Lê Quang Minh,Male,AMS,,INTP,"K-pop, Volleyball, Badminton",Text message,Study supporter,"Physics, Environment, Linear Algebra, Electronic, Practical laboratory","Bookstore, Home, Library",Midnight
Ngô Tuấn Minh,Male,SIC,,ISFJ,"K-pop, Makeup, Badminton, Skiing",Text message,Study supporter,"Artificial Intelligence, Electronic","Bookstore, Online",Midnight
Nguyễn Nhật Minh,Male,FST,,ISFP,"Netflix, Karate, Volleyball",Text message,Chit Chatting,"Biology, Calculus, Physics","Online, Library, Home",Evening
Nguyễn Quang Minh,Male,ATE,,ESFP,"Vlogging, Cooking",In-person (face-to-face),Share knowledge,Chemistry,Library,Evening
Hồ Nguyễn Hoàng Nam,Male,EER,,ISFJ,"Skiing, Board games, Art, Politics, Travel",Text message,Study supporter,"Biology, Health Care, Artificial Intelligence","Bookstore, Home, Online",Midnight
Vũ Hoàng Yến Ngọc,Female,AES,,INTJ,"Coffee, Tea, Football",Video call,Study supporter,"Practical laboratory, Biology, Programming",Bookstore,Overnight
Nguyễn Minh Phú,Male,AES,,ISFJ,"Dancing, DIY, Basketball, Volleyball, Travel",Text message,Study supporter,"Linear Algebra, Chemistry, Calculus, Health Care","Home, Library, Bookstore",Evening
Đỗ Minh Quang,Male,MAT,,ESFP,EDM,Phone call,Study supporter,Physics,Bookstore,Evening
Hoàng Đức Quang,Male,AE,,ISTJ,"Travel, Skiing, Gym, Korean food, DIY",Text message,Chit Chatting,"Linear Algebra, Artificial Intelligence, Chemistry, Environment","Bookstore, Café",Evening
Nguyễn Đức Quang,Male,SIC,,ENTJ,"Korean food, Skiing",Video call,Chit Chatting,"Calculus, Artificial Intelligence, Electronic, Health Care","Café, Online, Home",Midnight
Nguyễn Phan Như Quỳnh,Female,FST,,ISFP,"Jogging, Food tour, Board games",Video call,Study supporter,"Programming, Artificial Intelligence, Calculus, Biology, Health Care","Café, Online, Home",Night
Vũ Hải Sơn,Male,Pharmacy,,ENFP,"Skateboarding, Badminton",Video call,Share knowledge,"Chemistry, Calculus, Physics",Café,Night
Phùng Thế Thăng,Male,FST,,ESTP,"Dancing, Gym, Ballet, Rap, Coffee, Tea",Text message,Study supporter,Health Care,Café,Midnight
Nguyễn Quỳnh Trang,Female,EER,,ISTJ,"Karate, Volleyball",Video call,Study supporter,"Physics, Calculus",Online,Early Morning
Nguyễn Bá Trung,Male,AES,,ISTJ,"singing, Painting, Board games, Food tour",Text message,Study supporter,"Programming, Biology, Electronic","Home, Library, Café",Early Morning
Nguyễn Thanh Tùng,Male,SST,,INTP,"Bowling, Vlogging, Korean food",Phone call,Study supporter,"Chemistry, Programming, Practical laboratory, Health Care","Bookstore, Library",Night
Lê Ngọc An,Female,FST,,ISFP,Cooking,Text message,Chit Chatting,"Chemistry, Physics",Library,Night
Trịnh Việt Anh,Male,CH,,ESFJ,"Skiing, Volleyball, Travel, Bowling",Text message,Share knowledge,"Electronic, Environment","Bookstore, Café, Library",Early Morning
Trần Nguyên Bình,Male,AES,,ISFP,"V-pop, Food tour, Skateboarding, Coffee, Tea",In-person (face-to-face),Study supporter,"Biology, Practical laboratory, Health Care, Environment","Online, Bookstore",Evening
Phạm Yến Chi,Female,CS,,INTJ,"Painting, singing, Study, Karate, Food tour",Phone call,Chit Chatting,Chemistry,"Café, Library",Evening
Lê Hồng Diễm,Female,SST,,ENFP,Football,In-person (face-to-face),Chit Chatting,"Chemistry, Practical laboratory","Bookstore, Library, Home",Night
Vũ Bích Diệp,Female,SIC,,ESFP,Netflix,Text message,Study supporter,"Chemistry, Linear Algebra, Calculus, Practical laboratory","Café, Online",Early Morning
Nguyễn Đức Doanh,Male,AES,,ESFP,"Table tennis, Coffee, Tea, Skateboarding, Alcoholic",Text message,Chit Chatting,"Practical laboratory, Chemistry, Biology, Physics, Environment",Café,Night
Nguyễn Lương Dũng,Male,MAT,,ISTP,"Food tour, Karate, Korean food, Investment",Video call,Study supporter,Linear Algebra,"Bookstore, Café, Library",Midday
Nguyễn Hữu Đại,Male,AMS,,ISTJ,"Karate, Politics, Movie",Video call,Share knowledge,"Chemistry, Electronic, Calculus, Practical laboratory","Library, Online",Midday
Nguyễn Lưu Linh Đan,Female,AES,,ISTP,"Badminton, Korean food, Vlogging, Board games",Phone call,Share knowledge,"Programming, Electronic, Chemistry, Environment, Linear Algebra",Café,Overnight
Lý Minh Giang,Female,MST,,ISFJ,"Rap, singing, Jogging",Video call,Study supporter,"Biology, Environment, Artificial Intelligence, Health Care","Home, Library",Overnight
Nguyễn Ngọc Châu Giang,Female,SST,,ENFJ,Board games,Phone call,Study supporter,Environment,"Bookstore, Online",Early Morning
Nguyễn Việt Hằng,Female,ICT,,ISFP,Swimming,In-person (face-to-face),Share knowledge,Practical laboratory,Home,Overnight
Hoàng Trọng Hiếu,Male,MST,,ENTJ,"Anime, Dancing, EDM, Jogging",Phone call,Chit Chatting,"Environment, Chemistry, Artificial Intelligence, Biology","Bookstore, Library",Overnight
Trần Chí Hiếu,Male,DS,,ENFJ,"Swimming, Painting",Phone call,Study supporter,"Physics, Calculus, Biology, Electronic",Bookstore,Midday
Lê Đức Hoàng,Male,ICT,,INTJ,"Skateboarding, Swimming",Text message,Share knowledge,"Programming, Health Care","Home, Online",Overnight
Vũ Tuấn Hùng,Male,MAT,,ENTJ,"Korean food, DIY",In-person (face-to-face),Chit Chatting,"Environment, Calculus","Home, Online",Evening
Đinh Quang Huy,Male,FST,,ISTP,EDM,In-person (face-to-face),Share knowledge,"Environment, Biology, Health Care, Physics, Artificial Intelligence","Library, Café",Early Morning
Đỗ Xuân Huy,Male,EER,,ISFJ,"Jogging, Skiing",Phone call,Share knowledge,"Programming, Linear Algebra","Home, Café, Bookstore",Early Morning
Hoàng Văn Khải,Male,MAT,,INTJ,"singing, Painting, Basketball, Food tour, Art",Phone call,Study supporter,"Biology, Electronic","Café, Online",Overnight
Phạm Đặng Hoàng Lan,Female,Pharmacy,,ESTP,"Rap, Korean food, Makeup",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Linear Algebra, Environment, Chemistry","Library, Bookstore",Early Morning
Trần Bảo Linh,Female,ICT,,ESTP,V-pop,In-person (face-to-face),Chit Chatting,Health Care,Library,Midday
Nguyễn Đức Lộc,Male,Pharmacy,,INFJ,"Netflix, Football, Politics, Karate",In-person (face-to-face),Study supporter,"Artificial Intelligence, Health Care, Linear Algebra, Programming","Online, Bookstore",Midday
Nguyễn Quỳnh Mai,Female,ICT,,ISFP,Painting,Phone call,Study supporter,"Linear Algebra, Physics, Electronic","Bookstore, Online, Café",Midday
Chu Bảo Minh,Male,SIC,,ENTJ,"Hiphop, Basketball, Badminton, Movie, Alcoholic",Video call,Share knowledge,"Physics, Linear Algebra, Environment, Artificial Intelligence, Electronic",Library,Overnight
Nghiêm Huyền Minh,Male,SST,,ESTJ,"Badminton, Food tour, Study",In-person (face-to-face),Share knowledge,"Linear Algebra, Electronic, Health Care, Chemistry","Bookstore, Café, Online",Early Morning
Nguyễn Hùng Minh,Male,BIT,,ESTJ,"Ballet, Cooking, Rap",Video call,Study supporter,"Chemistry, Programming, Artificial Intelligence, Physics, Biology",Café,Night
Bùi Hải Nam,Male,CH,,ISTJ,"Ballet, Jogging, Volleyball, Makeup, EDM",Phone call,Share knowledge,"Practical laboratory, Chemistry, Programming","Café, Online, Bookstore",Midnight
Nguyễn Thu Nga,Female,ICT,,ENFP,"Painting, Skiing, Badminton",Phone call,Share knowledge,"Linear Algebra, Physics, Environment, Calculus","Home, Online, Café",Evening
Phạm Đức Ngọc,Female,SST,,ISTP,"Politics, Coffee, Tea, Investment, Volleyball",Video call,Study supporter,"Environment, Calculus, Electronic","Online, Café, Library",Early Morning
Đỗ Khôi Nguyên,Male,SST,,ENTJ,"Karate, Cooking, Painting, DIY",Text message,Share knowledge,"Environment, Physics, Chemistry, Health Care",Home,Evening
Nguyễn Mai Phương,Female,SIC,,ENTP,"EDM, Coffee, Tea, Volleyball, V-pop",In-person (face-to-face),Share knowledge,"Linear Algebra, Environment, Calculus, Electronic","Online, Home, Bookstore",Night
Hoàng Tân Phú,Male,EER,,ISTJ,"Makeup, Skateboarding",Video call,Share knowledge,"Biology, Chemistry, Artificial Intelligence",Library,Evening
Hồ Thanh Phúc,Male,Pharmacy,,ESTP,"Hiphop, Study",Text message,Share knowledge,"Physics, Practical laboratory, Calculus, Health Care, Artificial Intelligence","Library, Bookstore",Midday
Nguyễn Linh San,Female,EER,,ISTJ,"Alcoholic, Investment, Painting, Art",In-person (face-to-face),Share knowledge,"Chemistry, Programming",Bookstore,Evening
Bùi Bảo Tâm,Female,AMS,,ENTP,"Yoga, Art, Rap, Vlogging",Text message,Study supporter,Programming,"Library, Bookstore",Early Morning
